year,age,sex,religion,any_reason,low_income,endangered_health,rape
2006,50,female,None,yes,no,yes,no
2006,50,female,Protestant,yes,yes,yes,yes
2006,20,male,Catholic,yes,yes,yes,yes
2006,29,female,Protestant,yes,yes,yes,yes
2006,23,female,None,yes,yes,yes,yes
2006,32,female,None,yes,yes,yes,yes
2006,47,male,Catholic,no,no,no,no
2006,26,male,Buddhism,yes,yes,yes,yes
2006,25,female,Catholic,no,no,yes,no
2006,69,male,Protestant,yes,yes,yes,yes
2006,52,female,Protestant,yes,yes,yes,yes
2006,56,female,None,yes,yes,yes,yes
2006,30,female,Catholic,no,no,yes,yes
2006,31,female,Catholic,yes,no,yes,yes
2006,30,female,Catholic,yes,yes,yes,yes
2006,70,female,Jewish,yes,yes,yes,yes
2006,68,female,Jewish,yes,yes,yes,yes
2006,88,female,Jewish,yes,yes,yes,yes
2006,42,male,Protestant,yes,yes,yes,yes
2006,43,female,Catholic,no,no,yes,yes
2006,32,female,None,no,no,yes,no
2006,32,female,Catholic,no,no,yes,no
2006,48,male,Protestant,yes,yes,yes,yes
2006,33,female,Protestant,no,no,yes,yes
2006,85,male,Catholic,yes,yes,yes,yes
2006,37,male,Jewish,yes,yes,yes,yes
2006,26,female,Catholic,yes,yes,yes,yes
2006,23,female,Catholic,no,no,no,no
2006,29,female,Protestant,no,no,yes,no
2006,39,female,None,yes,yes,yes,yes
2006,29,male,None,yes,yes,yes,yes
2006,35,male,Orthodox-Christian,yes,no,yes,yes
2006,37,female,Catholic,no,no,yes,yes
2006,37,female,Protestant,no,no,yes,no
2006,30,female,Protestant,no,no,yes,yes
2006,77,male,Protestant,no,no,yes,no
2006,40,male,Protestant,yes,yes,yes,yes
2006,51,male,Catholic,no,no,yes,yes
2006,54,male,Catholic,no,no,yes,yes
2006,57,male,Catholic,no,no,yes,yes
2006,28,male,Catholic,yes,yes,yes,yes
2006,35,male,Catholic,no,no,yes,no
2006,83,female,Catholic,yes,yes,yes,yes
2006,32,female,Catholic,no,no,yes,yes
