year,age,sex,relig,abany,abpoor,abhlth,abrape
2006,50,2,4,1,2,1,2
2006,50,2,1,1,1,1,1
2006,20,1,2,1,1,1,1
2006,29,2,1,1,1,1,1
2006,23,2,4,1,1,1,1
2006,32,2,4,1,1,1,1
2006,47,1,2,2,2,2,2
2006,26,1,6,1,1,1,1
2006,25,2,2,2,2,1,2
2006,69,1,1,1,1,1,1
2006,52,2,1,1,1,1,1
2006,56,2,4,1,1,1,1
2006,30,2,2,2,2,1,1
2006,31,2,2,1,2,1,1
2006,30,2,2,1,1,1,1
2006,70,2,3,1,1,1,1
2006,68,2,3,1,1,1,1
2006,88,2,3,1,1,1,1
2006,42,1,1,1,1,1,1
2006,43,2,2,2,2,1,1
2006,32,2,4,2,2,1,2
2006,32,2,2,2,2,1,2
2006,48,1,1,1,1,1,1
2006,33,2,1,2,2,1,1
2006,85,1,2,1,1,1,1
2006,37,1,3,1,1,1,1
2006,26,2,2,1,1,1,1
2006,23,2,2,2,2,2,2
2006,29,2,1,2,2,1,2
2006,39,2,4,1,1,1,1
2006,29,1,4,1,1,1,1
2006,35,1,10,1,2,1,1
2006,37,2,2,2,2,1,1
2006,37,2,1,2,2,1,2
2006,30,2,1,2,2,1,1
2006,77,1,1,2,2,1,2
2006,40,1,1,1,1,1,1
2006,51,1,2,2,2,1,1
2006,54,1,2,2,2,1,1
2006,57,1,2,2,2,1,1
2006,28,1,2,1,1,1,1
2006,35,1,2,2,2,1,2
2006,83,2,2,1,1,1,1
2006,32,2,2,2,2,1,1
2006,53,1,1,2,2,2,2
2006,31,2,2,2,2,1,1
2006,27,1,4,1,1,1,1
2006,43,2,2,2,2,2,2
2006,50,2,2,1,1,1,1
2006,38,2,10,2,2,2,2
2006,50,1,1,2,2,1,1
2006,31,2,1,1,2,1,1
2006,60,2,2,1,1,1,1
2006,68,1,3,1,1,1,1
2006,49,2,2,2,1,1,1
2006,22,2,2,1,1,1,1
2006,86,1,1,1,1,1,1
2006,58,1,2,2,2,1,1
2006,41,2,4,1,1,1,1
2006,50,1,2,1,1,1,1
2006,24,1,2,1,1,1,1
2006,64,1,2,2,2,2,2
2006,58,2,2,2,2,2,2
2006,49,2,2,1,1,1,1
2006,58,1,2,2,1,1,1
2006,49,2,9,1,1,1,1
2006,51,1,1,1,1,1,1
2006,49,1,6,1,1,1,1
2006,36,1,2,2,2,1,1
2006,41,1,2,1,1,1,1
2006,66,2,2,2,2,2,2
2006,76,1,1,1,2,1,1
2006,67,1,2,2,2,1,2
2006,25,2,2,2,2,1,2
2006,31,2,2,2,2,2,2
2006,19,1,1,1,1,1,1
2006,52,1,4,2,2,1,2
2006,78,2,1,2,2,2,2
2006,51,2,1,1,2,1,1
2006,45,1,11,2,2,1,1
2006,58,1,1,1,1,1,1
2006,55,2,1,2,2,1,2
2006,50,1,4,1,1,1,1
2006,55,1,3,1,1,1,1
2006,37,1,4,1,1,1,1
2006,37,1,2,1,2,1,1
2006,58,2,1,1,1,1,1
2006,36,1,2,2,2,1,1
2006,44,1,2,2,2,1,2
2006,33,1,2,2,1,1,1
2006,18,1,2,1,1,1,1
2006,42,1,2,2,2,1,1
2006,27,2,2,1,1,1,1
2006,46,2,1,2,2,1,2
2006,25,2,2,2,2,1,1
2006,40,1,2,1,1,1,1
2006,28,1,1,1,1,1,1
2006,29,2,2,1,1,1,1
2006,22,1,2,2,2,1,1
2006,31,2,7,1,1,1,1
2006,39,2,2,2,2,1,2
2006,40,1,1,1,1,1,1
2006,66,1,4,1,1,1,1
2006,33,2,2,2,2,1,1
2006,58,2,6,1,1,1,1
2006,31,1,2,1,1,1,1
2006,45,1,1,2,2,1,2
2006,44,1,5,1,1,1,1
2006,46,2,2,2,2,1,2
2006,68,2,2,1,1,1,1
2006,18,1,2,2,1,1,1
2006,56,2,2,1,1,1,1
2006,28,1,4,1,1,1,1
2006,77,2,4,2,2,1,1
2006,26,1,1,1,1,1,1
2006,30,1,4,1,1,1,1
2006,55,1,4,1,2,1,1
2006,67,1,3,2,2,1,1
2006,37,2,1,2,2,1,1
2006,22,1,4,1,1,1,1
2006,46,2,4,1,1,1,1
2006,55,1,1,1,1,1,1
2006,28,2,2,2,2,1,1
2006,30,1,2,2,2,1,2
2006,34,1,2,2,2,1,2
2006,71,2,1,2,2,2,2
2006,36,1,4,1,2,2,1
2006,59,2,1,2,2,2,2
2006,32,1,4,1,1,1,1
2006,27,2,9,1,2,1,1
2006,56,1,4,1,1,1,1
2006,24,2,1,2,2,2,2
2006,69,1,2,2,1,1,2
2006,53,2,2,2,2,1,2
